feed,time,active
Fed,12,3
Fed,12,2
Fed,12,3
Fed,12,2
Fed,12,2
Fed,12,2
Unfed,12,7
Unfed,12,14
Unfed,12,4
Unfed,12,4
Unfed,12,10
Unfed,12,5
Fed,17,4
Fed,17,2
Fed,17,4
Fed,17,3
Fed,17,2
Fed,17,4
Fed,17,4
Fed,17,3
Fed,17,4
Fed,17,3
Fed,17,4
Fed,17,4
Unfed,17,24
Unfed,17,33
Unfed,17,41
Unfed,17,6
Unfed,17,22
Unfed,17,28
Unfed,17,12
Unfed,17,35
Unfed,17,31
Unfed,17,30
Unfed,17,24
Unfed,17,39
Fed,19,3
Fed,19,3
Fed,19,4
Fed,19,2
Fed,19,5
Fed,19,3
Unfed,19,49
Unfed,19,13
Unfed,19,40
Unfed,19,48
Unfed,19,47
Unfed,19,47
