distance,made
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
1,Yes
2,Yes
2,Yes
2,No
2,Yes
2,Yes
2,Yes
2,Yes
2,Yes
2,Yes
2,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
3,Yes
4,No
4,Yes
4,Yes
4,Yes
4,Yes
4,No
4,No
4,Yes
4,Yes
4,Yes
5,Yes
5,Yes
5,Yes
5,Yes
5,Yes
5,Yes
5,No
5,No
5,Yes
5,No
6,Yes
6,No
6,Yes
6,Yes
6,Yes
6,Yes
6,No
6,Yes
6,No
6,Yes
7,No
7,Yes
7,No
7,No
7,Yes
7,Yes
7,Yes
7,Yes
7,Yes
7,Yes
8,No
8,No
8,No
8,Yes
8,No
8,Yes
8,Yes
8,No
8,Yes
8,No
9,No
9,Yes
9,No
9,No
9,No
9,Yes
9,No
9,No
9,No
9,No
10,Yes
10,Yes
10,No
10,No
10,Yes
10,Yes
10,No
10,No
10,No
10,No
11,No
11,No
11,No
11,No
11,Yes
11,No
11,No
11,No
11,No
11,Yes
12,Yes
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
13,No
13,No
13,Yes
13,No
13,No
13,No
13,No
13,No
13,No
13,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
15,No
15,Yes
15,Yes
15,No
15,No
15,No
15,No
15,No
15,No
15,No
16,No
16,No
16,No
16,No
16,No
16,No
16,Yes
16,No
16,No
16,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
20,No
20,No
20,No
20,No
20,Yes
20,No
20,No
20,No
20,No
20,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,Yes
23,No
23,No
23,No
23,No
23,No
23,No
23,No
23,No
23,No
23,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
