Habitat,CA,AGB
FC,3.61,2245
FC,2.2,3087
FC,1.75,1728
FC,1.52,1816
FC,1.21,1152
FC,1.2,738
FC,0.81,369
FC,0.74,310
FC,0.7,384
FC,0.59,517
FC,0.57,177
FC,0.55,222
FC,0.53,207
FC,0.43,325
FC,0.39,162
FC,0.36,89
FC,0.3,118
FC,0.26,89
FC,0.26,44
FC,0.19,44
FC,0.13,44
FC,0.05,10
FD,2.41,1063
FD,2.14,945
FD,1.64,1078
FD,1.41,694
FD,1.24,753
FD,1.24,650
FD,1.13,635
FD,1.13,591
FD,1.04,399
FD,0.86,354
FD,0.85,310
FD,0.79,162
FD,0.69,133
FD,0.63,236
FD,0.61,133
FD,0.51,74
FD,0.43,59
FD,0.4,59
FD,0.36,89
FD,0.3,162
FD,0.24,59
FD,0.15,11
FD,0.05,4
SF,2.68,2097
SF,1.9,857
SF,1.89,635
SF,1.76,576
SF,1.66,502
SF,1.54,532
SF,1.51,517
SF,1.49,561
SF,1.45,591
SF,1.43,325
SF,1.23,281
SF,1.1,295
SF,1.04,325
SF,1.13,414
SF,1.04,517
SF,1,207
SF,0.94,118
SF,0.93,222
SF,0.82,148
SF,0.7,192
SF,0.63,148
SF,0.7,59
SF,0.63,103
SF,0.63,59
SF,0.53,59
SF,0.5,103
SF,0.43,44
SF,0.36,30
SF,0.3,30
SF,0.24,15
SF,0.08,6
