fips,state,county,latitude,longitude,elevation_m,mean_winter_temp,mean_summer_temp,perc_conifer,perc_total_forest,count_slimy_salamander,salamander_presence
1001,AL,Autauga,32.536382,-86.64449,119.96,8.756507669,26.59025592,18.68667965,54.14935338,4,1
1005,AL,Barbour,31.87067,-85.405456,147.62,9.400818215,26.54324801,27.40609693,61.24243647,0,0
1007,AL,Bibb,33.015893,-87.127148,109.55,7.733506961,26.2420498,29.15885112,73.45912571,8,1
1009,AL,Blount,33.977448,-86.567246,165.64,6.227517871,25.39209215,10.21662269,50.14639122,2,1
1011,AL,Bullock,32.101759,-85.717261,145.19,8.853929717,26.29160614,25.26383662,63.00423006,1,1
1013,AL,Butler,31.751667,-86.681969,109.44,9.404216794,26.48560755,33.49627933,72.35092519,0,0
1015,AL,Calhoun,33.771706,-85.822513,207.19,6.55073626,25.37598605,16.53754147,59.35430778,0,0
1017,AL,Chambers,32.917943,-85.391812,242.57,7.501068086,25.66169727,28.34078893,61.48346862,2,1
1019,AL,Cherokee,34.069515,-85.654242,183.63,5.741969301,25.09013198,17.83242016,53.0440524,2,1
1021,AL,Chilton,32.85406,-86.726628,171.88,7.908115277,26.08350465,19.56132174,60.5022462,3,1
1023,AL,Choctaw,31.991008,-88.248887,104.74,8.835470363,26.6564254,27.90326817,71.5064029,0,0
1025,AL,Clarke,31.685521,-87.818624,93.32,9.426011905,26.61814858,30.61314001,73.06057328,0,0
1027,AL,Clay,33.267809,-85.862051,320.83,6.840422515,24.97923169,27.0567734,75.48638623,3,1
1029,AL,Cleburne,33.671981,-85.516109,289.84,6.344489492,24.49672346,28.03046961,74.14697537,2,1
1031,AL,Coffee,31.402183,-85.989201,120.74,10.05283094,26.76770804,26.36467899,54.28271757,0,0
1033,AL,Colbert,34.703112,-87.801457,205.94,5.66930117,25.4152718,5.946924079,46.11482674,0,0
1035,AL,Conecuh,31.428293,-86.992029,73.19,9.74352444,26.50927433,36.36354745,68.91575633,0,0
1037,AL,Coosa,32.931445,-86.243482,139.18,7.86208975,25.84174045,30.97108016,75.04328381,0,0
1039,AL,Covington,31.243987,-86.448721,67.62,10.21799586,26.83781446,35.70121162,61.68026852,0,0
1041,AL,Crenshaw,31.732826,-86.319222,98.22,9.368067647,26.4794486,25.63963426,66.45086245,0,0
1043,AL,Cullman,34.131923,-86.869267,203.26,5.929813073,25.07777941,8.900245726,39.77385331,4,1
1045,AL,Dale,31.430654,-85.609476,79.45,10.20073666,26.83835381,26.22618357,55.62667625,0,0
1047,AL,Dallas,32.33354,-87.114356,34.34,8.746796387,26.63816266,17.9181533,56.45207648,0,0
1049,AL,DeKalb,34.460929,-85.803992,384.14,4.914831426,24.03744274,5.864421347,44.35591728,20,1
1051,AL,Elmore,32.597229,-86.142739,95.77,8.546883756,26.42794989,15.45317328,56.29340044,2,1
1053,AL,Escambia,31.121748,-87.168429,49.63,10.2824856,26.73663185,37.19038937,58.29467929,0,0
1055,AL,Etowah,34.047638,-86.03442,232.08,6.054247707,25.48211453,9.428889207,50.04174009,2,1
1059,AL,Franklin,34.441988,-87.842815,256.28,5.609645359,25.20158184,9.909247022,53.46008831,0,0
1061,AL,Geneva,31.090866,-85.824346,32.17,10.30966932,26.80524431,24.74408292,41.5163976,0,0
1063,AL,Greene,32.844497,-87.964201,44.03,7.991503181,26.61908078,13.29752392,63.0407745,0,0
1065,AL,Hale,32.752796,-87.623061,70.87,8.375486234,26.71808967,11.88300243,57.33844289,0,0
1067,AL,Henry,31.516978,-85.239971,83.8,10.14131981,26.85884026,22.51118038,48.7044576,0,0
1069,AL,Houston,31.158193,-85.296398,67.56,10.75936114,27.26642272,19.61165489,35.5696254,0,0
1071,AL,Jackson,34.763522,-85.9774,393.79,4.844586739,24.36711637,4.01932394,60.49000651,38,1
1073,AL,Jefferson,33.553444,-86.896536,174.22,7.309808605,26.08928435,17.42450385,54.3490683,34,1
1075,AL,Lamar,33.787085,-88.087431,95.23,6.401304283,25.82834606,11.3839793,66.23586142,0,0
1077,AL,Lauderdale,34.904122,-87.650997,201.03,5.496850641,25.25053502,3.247664804,36.5117821,1,1
1079,AL,Lawrence,34.529776,-87.321865,189.83,5.940304291,25.36258359,8.383314768,45.16042914,1,1
1081,AL,Lee,32.604064,-85.353048,217.85,8.238822692,26.14017024,20.73182017,56.19590964,2,1
